GROUP_DATE,INCIDENT_DATETIME,INITIAL_SEVERITY_LEVEL_CODE
2017/05/29,3484,4.285591274397245
2017/05/30,4023,4.34277902063137
2017/05/31,4156,4.311838306063523
2017/06/01,4257,4.254169603006813
2017/06/02,4282,4.2265296590378325
2017/06/03,4162,4.228495915425277
2017/06/04,3855,4.26822308690013
2017/06/05,4271,4.3275579489580895
2017/06/06,3898,4.3383786557208825
2017/06/07,4030,4.290818858560794
2017/06/08,3913,4.263991822131357
2017/06/09,4356,4.266299357208448
2017/06/10,4452,4.1610512129380055
2017/06/11,4362,4.133654287024301
2017/06/12,4544,4.246919014084507
2017/06/13,4671,4.310640119888675
2017/06/14,4528,4.286219081272085
2017/06/15,4257,4.3232323232323235
2017/06/16,4106,4.372138334145154
2017/06/17,3898,4.229348383786557
2017/06/18,4032,4.220982142857143
2017/06/19,4465,4.28040313549832
2017/06/20,4142,4.320376629647513
2017/06/21,4274,4.302058961160506
2017/06/22,4385,4.250627137970353
2017/06/23,4458,4.288245850157021
2017/06/24,4215,4.2673784104389085
2017/06/25,4353,4.246266942338617
2017/06/26,4211,4.325575872714319
2017/06/27,4306,4.258012076172782
2017/06/28,4158,4.311688311688312
2017/06/29,4035,4.295662949194548
2017/06/30,4284,4.294117647058823
2017/07/01,4184,4.217256214149139
2017/07/02,4036,4.190535183349851
2017/07/03,4115,4.30498177399757
2017/07/04,3923,4.330359418812134
2017/07/05,4399,4.360763809956809
2017/07/06,3967,4.338290899924376
2017/07/07,4109,4.3560477001703575
2017/07/08,3988,4.238716148445336
2017/07/09,3856,4.256742738589212
2017/07/10,4363,4.271372908549163
2017/07/11,4153,4.301468817722129
2017/07/12,4264,4.293621013133208
2017/07/13,4344,4.292357274401473
2017/07/14,3685,4.3807327001356855
2017/07/15,4095,4.281807081807082
2017/07/16,4102,4.226962457337884
2017/07/17,4305,4.267595818815331
2017/07/18,4218,4.357752489331436
2017/07/19,4189,4.317975650513249
2017/07/20,4340,4.292165898617512
2017/07/21,4470,4.342281879194631
2017/07/22,4331,4.2567536365735394
2017/07/23,3901,4.268649064342476
2017/07/24,3853,4.325201141967298
2017/07/25,3847,4.343124512607226
2017/07/26,3996,4.311061061061061
2017/07/27,3893,4.333162085795017
2017/07/28,4015,4.273972602739726
2017/07/29,3702,4.334683954619125
2017/07/30,3841,4.296016662327519
2017/07/31,4004,4.3441558441558445
2017/08/01,4245,4.29399293286219
2017/08/02,4068,4.273598820058997
2017/08/03,4193,4.332697352730742
2017/08/04,4329,4.274890274890275
2017/08/05,3911,4.296855024290463
2017/08/06,3762,4.282030834662414
2017/08/07,3851,4.34770189561153
2017/08/08,3988,4.38665997993982
2017/08/09,4127,4.319360310152653
2017/08/10,4227,4.334752779749231
2017/08/11,3979,4.337773309876853
2017/08/12,3905,4.273751600512164
2017/08/13,4009,4.304564729358942
2017/08/14,4167,4.363330933525318
2017/08/15,3894,4.3574730354391376
2017/08/16,4129,4.299830467425527
2017/08/17,4122,4.349587578845221
2017/08/18,4064,4.324064960629921
2017/08/19,4155,4.2539109506618535
2017/08/20,3914,4.231987736331119
2017/08/21,4226,4.350212967345007
2017/08/22,4255,4.299647473560517
2017/08/23,3915,4.361430395913154
2017/08/24,3895,4.346084724005134
2017/08/25,4061,4.296724944594927
2017/08/26,3811,4.281815796378903
2017/08/27,3843,4.286494925839188
2017/08/28,3816,4.290880503144654
2017/08/29,3500,4.359428571428571
2017/08/30,3944,4.334685598377282
2017/08/31,3755,4.299334221038615
2017/09/01,3972,4.319234642497483
2017/09/02,3885,4.264607464607464
2017/09/03,3578,4.275852431525992
2017/09/04,3966,4.275844679778114
2017/09/05,4201,4.3037372054272796
2017/09/06,3789,4.344154130377408
2017/09/07,3947,4.281732961743096
2017/09/08,4015,4.34321295143213
2017/09/09,3913,4.252236135957066
2017/09/10,3678,4.241163675910821
2017/09/11,4110,4.319708029197081
2017/09/12,4205,4.376456599286564
2017/09/13,4310,4.376102088167054
2017/09/14,4391,4.313140514689137
2017/09/15,4508,4.260204081632653
2017/09/16,4388,4.283956244302644
2017/09/17,4161,4.284306657053593
2017/09/18,4335,4.315109573241061
2017/09/19,4146,4.3777134587554265
2017/09/20,4279,4.3381631222248185
2017/09/21,4054,4.3376911692155895
2017/09/22,4087,4.331783704428676
2017/09/23,4236,4.195467422096317
2017/09/24,4287,4.248425472358292
2017/09/25,4296,4.294227188081937
2017/09/26,4150,4.325060240963856
